Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
78,HOSP,155.385000,off,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
79,ROADS,151.100000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
80,ANIMAL,155.055000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
81,SC PD,154.770000,-,8.250000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
82,SV PD,155.085000,-,8.550000,,88.5,88.5,023,NN,AM,5.00,,,,,,
83,CALCOR,156.075000,-,8.550000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,CLERS,458.875000,-,0.050000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
85,MED NE,463.050000,-,4.250000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
86,CALFIR,151.370000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
87,MAR 16,156.800000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,NOAA7,162.550000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
89,NOAA5,182.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
91,CF 3,151.175000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
92,CF4,151.190000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
93,CF6,151.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
999,X-BAND,446.100000,,5.000000,TSQL,94.8,94.8,023,NN,FM,5.00,,,,,,
